province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,35 - 39,6.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,40 - 44,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,45 - 49,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,Total No. of children born alive in last 12 months,21.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,15 - 19,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,20 - 24,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,25 - 29,1.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,30 - 34,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,35 - 39,6.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,40 - 44,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Social work/volunteer,45 - 49,14.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,Total No. of children born alive in last 12 months,233.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,15 - 19,6.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,20 - 24,22.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,25 - 29,33.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,30 - 34,33.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,35 - 39,49.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,40 - 44,47.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Other,45 - 49,43.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,Total No. of children born alive in last 12 months,11.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,15 - 19,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,20 - 24,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,25 - 29,5.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,30 - 34,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,35 - 39,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,40 - 44,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Not Stated,45 - 49,6.0,301,3,30103
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,Total No. of children born alive in last 12 months,1477.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,15 - 19,17.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,20 - 24,143.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,25 - 29,262.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,30 - 34,244.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,35 - 39,272.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,40 - 44,283.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Total,45 - 49,256.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,Total No. of children born alive in last 12 months,10.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,15 - 19,0.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,20 - 24,7.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,25 - 29,3.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,30 - 34,0.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,35 - 39,0.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,40 - 44,0.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Student,45 - 49,0.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,Total No. of children born alive in last 12 months,884.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,15 - 19,10.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,20 - 24,69.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,25 - 29,138.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,30 - 34,151.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,35 - 39,164.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,40 - 44,160.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Household chores,45 - 49,192.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,Total No. of children born alive in last 12 months,388.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,15 - 19,6.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,20 - 24,47.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,25 - 29,86.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,30 - 34,62.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,35 - 39,75.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,40 - 44,74.0,301,3,30107
BAGMATI,Dolakha,Kalinchowk Gaunpalika,,Family care,45 - 49,38.0,301,3,30107
