Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Taplejung,Meringden Gaunpalika,35-39 Yrs.,Population - Female,332
KOSHI,Taplejung,Meringden Gaunpalika,40-44 Yrs.,Population - Total,588
KOSHI,Taplejung,Meringden Gaunpalika,40-44 Yrs.,Population - Male,276
KOSHI,Taplejung,Meringden Gaunpalika,40-44 Yrs.,Population - Female,312
KOSHI,Taplejung,Meringden Gaunpalika,45-49 Yrs.,Population - Total,527
KOSHI,Taplejung,Meringden Gaunpalika,45-49 Yrs.,Population - Male,246
KOSHI,Taplejung,Meringden Gaunpalika,45-49 Yrs.,Population - Female,281
KOSHI,Taplejung,Meringden Gaunpalika,50-54 Yrs.,Population - Total,587
KOSHI,Taplejung,Meringden Gaunpalika,50-54 Yrs.,Population - Male,290
KOSHI,Taplejung,Meringden Gaunpalika,50-54 Yrs.,Population - Female,297
KOSHI,Taplejung,Meringden Gaunpalika,55-59 Yrs.,Population - Total,475
KOSHI,Taplejung,Meringden Gaunpalika,55-59 Yrs.,Population - Male,245
KOSHI,Taplejung,Meringden Gaunpalika,55-59 Yrs.,Population - Female,230
KOSHI,Taplejung,Meringden Gaunpalika,60-64 Yrs.,Population - Total,400
KOSHI,Taplejung,Meringden Gaunpalika,60-64 Yrs.,Population - Male,184
KOSHI,Taplejung,Meringden Gaunpalika,60-64 Yrs.,Population - Female,216
KOSHI,Taplejung,Meringden Gaunpalika,65-69 Yrs.,Population - Total,297
KOSHI,Taplejung,Meringden Gaunpalika,65-69 Yrs.,Population - Male,155
KOSHI,Taplejung,Meringden Gaunpalika,65-69 Yrs.,Population - Female,142
KOSHI,Taplejung,Meringden Gaunpalika,70-74 Yrs.,Population - Total,238
KOSHI,Taplejung,Meringden Gaunpalika,70-74 Yrs.,Population - Male,135
KOSHI,Taplejung,Meringden Gaunpalika,70-74 Yrs.,Population - Female,103
KOSHI,Taplejung,Meringden Gaunpalika,75-79 Yrs.,Population - Total,128
KOSHI,Taplejung,Meringden Gaunpalika,75-79 Yrs.,Population - Male,57
KOSHI,Taplejung,Meringden Gaunpalika,75-79 Yrs.,Population - Female,71
KOSHI,Taplejung,Meringden Gaunpalika,80-84 Yrs.,Population - Total,71
KOSHI,Taplejung,Meringden Gaunpalika,80-84 Yrs.,Population - Male,39
KOSHI,Taplejung,Meringden Gaunpalika,80-84 Yrs.,Population - Female,32
KOSHI,Taplejung,Meringden Gaunpalika,85-89 Yrs.,Population - Total,29
KOSHI,Taplejung,Meringden Gaunpalika,85-89 Yrs.,Population - Male,13
KOSHI,Taplejung,Meringden Gaunpalika,85-89 Yrs.,Population - Female,16
KOSHI,Taplejung,Meringden Gaunpalika,90-94 Yrs.,Population - Total,7
KOSHI,Taplejung,Meringden Gaunpalika,90-94 Yrs.,Population - Male,1
KOSHI,Taplejung,Meringden Gaunpalika,90-94 Yrs.,Population - Female,6
KOSHI,Taplejung,Meringden Gaunpalika,95+ Yrs.,Population - Total,2
KOSHI,Taplejung,Meringden Gaunpalika,95+ Yrs.,Population - Male,2
KOSHI,Taplejung,Meringden Gaunpalika,95+ Yrs.,Population - Female,0
KOSHI,Taplejung,Maiwakhola Gaunpalika,All Ages,Population - Total,10213
KOSHI,Taplejung,Maiwakhola Gaunpalika,All Ages,Population - Male,5153
KOSHI,Taplejung,Maiwakhola Gaunpalika,All Ages,Population - Female,5060
KOSHI,Taplejung,Maiwakhola Gaunpalika,00-04 Yrs.,Population - Total,887
KOSHI,Taplejung,Maiwakhola Gaunpalika,00-04 Yrs.,Population - Male,424
KOSHI,Taplejung,Maiwakhola Gaunpalika,00-04 Yrs.,Population - Female,463
KOSHI,Taplejung,Maiwakhola Gaunpalika,05-09 Yrs.,Population - Total,1003
KOSHI,Taplejung,Maiwakhola Gaunpalika,05-09 Yrs.,Population - Male,547
KOSHI,Taplejung,Maiwakhola Gaunpalika,05-09 Yrs.,Population - Female,456
KOSHI,Taplejung,Maiwakhola Gaunpalika,10-14 Yrs.,Population - Total,1081
KOSHI,Taplejung,Maiwakhola Gaunpalika,10-14 Yrs.,Population - Male,541
KOSHI,Taplejung,Maiwakhola Gaunpalika,10-14 Yrs.,Population - Female,540
KOSHI,Taplejung,Maiwakhola Gaunpalika,15-19 Yrs.,Population - Total,1161
KOSHI,Taplejung,Maiwakhola Gaunpalika,15-19 Yrs.,Population - Male,581
KOSHI,Taplejung,Maiwakhola Gaunpalika,15-19 Yrs.,Population - Female,580
KOSHI,Taplejung,Maiwakhola Gaunpalika,20-24 Yrs.,Population - Total,1002
KOSHI,Taplejung,Maiwakhola Gaunpalika,20-24 Yrs.,Population - Male,515
KOSHI,Taplejung,Maiwakhola Gaunpalika,20-24 Yrs.,Population - Female,487
KOSHI,Taplejung,Maiwakhola Gaunpalika,25-29 Yrs.,Population - Total,847
KOSHI,Taplejung,Maiwakhola Gaunpalika,25-29 Yrs.,Population - Male,435
KOSHI,Taplejung,Maiwakhola Gaunpalika,25-29 Yrs.,Population - Female,412
KOSHI,Taplejung,Maiwakhola Gaunpalika,30-34 Yrs.,Population - Total,675
KOSHI,Taplejung,Maiwakhola Gaunpalika,30-34 Yrs.,Population - Male,351
KOSHI,Taplejung,Maiwakhola Gaunpalika,30-34 Yrs.,Population - Female,324
KOSHI,Taplejung,Maiwakhola Gaunpalika,35-39 Yrs.,Population - Total,578
KOSHI,Taplejung,Maiwakhola Gaunpalika,35-39 Yrs.,Population - Male,279
KOSHI,Taplejung,Maiwakhola Gaunpalika,35-39 Yrs.,Population - Female,299
KOSHI,Taplejung,Maiwakhola Gaunpalika,40-44 Yrs.,Population - Total,566
KOSHI,Taplejung,Maiwakhola Gaunpalika,40-44 Yrs.,Population - Male,280
KOSHI,Taplejung,Maiwakhola Gaunpalika,40-44 Yrs.,Population - Female,286
KOSHI,Taplejung,Maiwakhola Gaunpalika,45-49 Yrs.,Population - Total,416
KOSHI,Taplejung,Maiwakhola Gaunpalika,45-49 Yrs.,Population - Male,202
KOSHI,Taplejung,Maiwakhola Gaunpalika,45-49 Yrs.,Population - Female,214
KOSHI,Taplejung,Maiwakhola Gaunpalika,50-54 Yrs.,Population - Total,522
KOSHI,Taplejung,Maiwakhola Gaunpalika,50-54 Yrs.,Population - Male,261
KOSHI,Taplejung,Maiwakhola Gaunpalika,50-54 Yrs.,Population - Female,261
KOSHI,Taplejung,Maiwakhola Gaunpalika,55-59 Yrs.,Population - Total,406
KOSHI,Taplejung,Maiwakhola Gaunpalika,55-59 Yrs.,Population - Male,194
KOSHI,Taplejung,Maiwakhola Gaunpalika,55-59 Yrs.,Population - Female,212
KOSHI,Taplejung,Maiwakhola Gaunpalika,60-64 Yrs.,Population - Total,380
