Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
KOSHI,Bhojpur,,Total,Relation of  household head - Father in Law/ Mother in Law,707
KOSHI,Bhojpur,,Total,Relation of  household head - Brother/ Sister,2460
KOSHI,Bhojpur,,Total,Relation of  household head - Grand Son/ Grand Daugher,12855
KOSHI,Bhojpur,,Total,Relation of  household head - Other Relative,1767
KOSHI,Bhojpur,,Total,Relation of  household head - Domestic Helper,53
KOSHI,Bhojpur,,Total,Relation of  household head - Not Related,1577
KOSHI,Bhojpur,,Total,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,,Male,Total,78211
KOSHI,Bhojpur,,Male,Relation of  household head - Household head,28462
KOSHI,Bhojpur,,Male,Relation of  household head - Husband/ Wife,2525
KOSHI,Bhojpur,,Male,Relation of  household head - Son / Daughter in Law,35821
KOSHI,Bhojpur,,Male,Relation of  household head - Daughter/ Son in Law,131
KOSHI,Bhojpur,,Male,Relation of  household head - Father/ Mother,970
KOSHI,Bhojpur,,Male,Relation of  household head - Father in Law/ Mother in Law,242
KOSHI,Bhojpur,,Male,Relation of  household head - Brother/ Sister,1261
KOSHI,Bhojpur,,Male,Relation of  household head - Grand Son/ Grand Daugher,6613
KOSHI,Bhojpur,,Male,Relation of  household head - Other Relative,776
KOSHI,Bhojpur,,Male,Relation of  household head - Domestic Helper,40
KOSHI,Bhojpur,,Male,Relation of  household head - Not Related,1370
KOSHI,Bhojpur,,Male,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,,Female,Total,79712
KOSHI,Bhojpur,,Female,Relation of  household head - Household head,10169
KOSHI,Bhojpur,,Female,Relation of  household head - Husband/ Wife,24991
KOSHI,Bhojpur,,Female,Relation of  household head - Son / Daughter in Law,8127
KOSHI,Bhojpur,,Female,Relation of  household head - Daughter/ Son in Law,24961
KOSHI,Bhojpur,,Female,Relation of  household head - Father/ Mother,2347
KOSHI,Bhojpur,,Female,Relation of  household head - Father in Law/ Mother in Law,465
KOSHI,Bhojpur,,Female,Relation of  household head - Brother/ Sister,1199
KOSHI,Bhojpur,,Female,Relation of  household head - Grand Son/ Grand Daugher,6242
KOSHI,Bhojpur,,Female,Relation of  household head - Other Relative,991
KOSHI,Bhojpur,,Female,Relation of  household head - Domestic Helper,13
KOSHI,Bhojpur,,Female,Relation of  household head - Not Related,207
KOSHI,Bhojpur,,Female,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Shadananda Municipality,Total,Total,29342
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Household head,7311
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Husband/ Wife,5481
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Son / Daughter in Law,8218
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Daughter/ Son in Law,4666
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Father/ Mother,609
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,108
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Brother/ Sister,349
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,2296
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Other Relative,239
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Domestic Helper,12
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Not Related,53
KOSHI,Bhojpur,Shadananda Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Shadananda Municipality,Male,Total,14558
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Household head,5598
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Husband/ Wife,421
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Son / Daughter in Law,6799
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Daughter/ Son in Law,14
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Father/ Mother,180
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,40
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Brother/ Sister,176
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,1173
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Other Relative,107
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Domestic Helper,10
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Not Related,40
KOSHI,Bhojpur,Shadananda Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Shadananda Municipality,Female,Total,14784
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Household head,1713
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Husband/ Wife,5060
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Son / Daughter in Law,1419
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Daughter/ Son in Law,4652
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Father/ Mother,429
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,68
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Brother/ Sister,173
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,1123
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Other Relative,132
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Domestic Helper,2
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Not Related,13
KOSHI,Bhojpur,Shadananda Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Total,12284
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Household head,2998
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Husband/ Wife,2251
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3374
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2433
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Father/ Mother,335
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,50
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Brother/ Sister,158
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,557
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Other Relative,92
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Domestic Helper,2
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Not Related,34
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Total,6108
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Household head,2413
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Husband/ Wife,110
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,3004
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,5
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Father/ Mother,110
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,16
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Brother/ Sister,85
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,290
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Other Relative,50
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Not Related,24
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Total,6176
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Household head,585
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Husband/ Wife,2141
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,370
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2428
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Father/ Mother,225
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,34
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Brother/ Sister,73
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,267
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Other Relative,42
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Domestic Helper,1
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Not Related,10
KOSHI,Bhojpur,Salpa Silichho Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Total,15464
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Household head,3854
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Husband/ Wife,2713
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,4242
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2381
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Father/ Mother,322
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,57
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Brother/ Sister,261
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1363
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Other Relative,248
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Domestic Helper,1
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Not Related,22
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Total,7625
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Household head,2804
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Husband/ Wife,301
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,3423
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,18
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Father/ Mother,93
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,20
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Brother/ Sister,149
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,698
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Other Relative,102
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Not Related,16
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Total,7839
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Household head,1050
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Husband/ Wife,2412
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,819
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2363
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Father/ Mother,229
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,37
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Brother/ Sister,112
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,665
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Other Relative,146
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Not Related,6
KOSHI,Bhojpur,Temkemaiyum Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Bhojpur Municipality,Total,Total,26007
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Household head,6744
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Husband/ Wife,4607
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Son / Daughter in Law,6936
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Daughter/ Son in Law,3942
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Father/ Mother,457
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,189
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Brother/ Sister,510
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,2083
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Other Relative,424
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Domestic Helper,15
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Not Related,100
KOSHI,Bhojpur,Bhojpur Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Bhojpur Municipality,Male,Total,12645
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Household head,4486
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Husband/ Wife,742
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Son / Daughter in Law,5588
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Daughter/ Son in Law,24
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Father/ Mother,127
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,68
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Brother/ Sister,254
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,1096
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Other Relative,176
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Domestic Helper,8
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Not Related,76
KOSHI,Bhojpur,Bhojpur Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Bhojpur Municipality,Female,Total,13362
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Household head,2258
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Husband/ Wife,3865
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Son / Daughter in Law,1348
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Daughter/ Son in Law,3918
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Father/ Mother,330
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,121
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Brother/ Sister,256
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,987
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Other Relative,248
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Domestic Helper,7
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Not Related,24
KOSHI,Bhojpur,Bhojpur Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Arun Gaunpalika,Total,Total,14591
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Household head,3538
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Husband/ Wife,2530
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,4167
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2203
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Father/ Mother,277
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,41
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Brother/ Sister,165
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1507
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Other Relative,128
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Domestic Helper,7
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Not Related,28
KOSHI,Bhojpur,Arun Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Bhojpur,Arun Gaunpalika,Male,Total,7135
KOSHI,Bhojpur,Arun Gaunpalika,Male,Relation of  household head - Household head,2665
